ｧ,xa
ｱ,a
ｨ,xi
ｲ,i
ｲｨ,yi
ｲｪ,ye
ｲｨ,ixi
ｲｪ,ixe
ｩ,xu
ｳ,u
ｳｧ,wa
ｳｨ,wi
ｳｩ,wu
ｳｪ,we
ｳｫ,wo
ｳｧ,uxa
ｳｨ,uxi
ｳｩ,uxu
ｳｪ,uxe
ｳｫ,uxo
ｪ,xe
ｴ,e
ｫ,xo
ｵ,o
ｶ,ka
ｶﾞ,ga
ｷ,ki
ｷｨ,kyi
ｷｪ,kye
ｷｬ,kya
ｷｭ,kyu
ｷｮ,kyo
ｷｨ,kixi
ｷｪ,kixe
ｷｬ,kixya
ｷｭ,kixyu
ｷｮ,kixyo
ｷﾞ,gi
ｷﾞｨ,gyi
ｷﾞｪ,gye
ｷﾞｬ,gya
ｷﾞｭ,gyu
ｷﾞｮ,gyo
ｷﾞｨ,gixi
ｷﾞｪ,gixe
ｷﾞｬ,gixya
ｷﾞｭ,gixyu
ｷﾞｮ,gixyo
ｸ,ku
ｸｧ,kwa
ｸｨ,kwi
ｸｩ,kwu
ｸｪ,kwe
ｸｫ,kwo
ｸｧ,kuxa
ｸｨ,kuxi
ｸｩ,kuxu
ｸｪ,kuxe
ｸｫ,kuxo
ｸﾞ,gu
ｸﾞｧ,gwa
ｸﾞｨ,gwi
ｸﾞｩ,gwu
ｸﾞｪ,gwe
ｸﾞｫ,gwo
ｸﾞｧ,guxa
ｸﾞｨ,guxi
ｸﾞｩ,guxu
ｸﾞｪ,guxe
ｸﾞｫ,guxo
ｹ,ke
ｹﾞ,ge
ｺ,ko
ｺﾞ,go
ｻ,sa
ｻﾞ,za
ｼ,si
ｼｪ,sye
ｼｬ,sya
ｼｭ,syu
ｼｮ,syo
ｼｪ,sixe
ｼｬ,sixa
ｼｭ,sixu
ｼｮ,sixo
ｼ,shi
ｼｪ,she
ｼｬ,sha
ｼｭ,shu
ｼｮ,sho
ｼｪ,shixe
ｼｬ,shixya
ｼｭ,shixyu
ｼｮ,shixyo
ｼﾞ,zi
ｼﾞｨ,zyi
ｼﾞｪ,ze
ｼﾞｬ,za
ｼﾞｭ,zu
ｼﾞｮ,zo
ｼﾞｬ,zya
ｼﾞｭ,zyu
ｼﾞｮ,zyo
ｼﾞｨ,zixi
ｼﾞｪ,zixe
ｼﾞｬ,zixya
ｼﾞｭ,zixyu
ｼﾞｮ,zixyo
ｼﾞ,ji
ｼﾞｨ,jyi
ｼﾞｪ,je
ｼﾞｬ,ja
ｼﾞｭ,ju
ｼﾞｮ,jo
ｼﾞｬ,jya
ｼﾞｭ,jyu
ｼﾞｮ,jyo
ｼﾞｨ,jixi
ｼﾞｪ,jixe
ｼﾞｬ,jixya
ｼﾞｭ,jixyu
ｼﾞｮ,jixyo
ｽ,su
ｽｧ,sa
ｽｨ,si
ｽｩ,suu
ｽｪ,se
ｽｫ,so
ｽｧ,suxa
ｽｨ,suxi
ｽｩ,suxu
ｽｪ,suxe
ｽｫ,suxo
ｽﾞ,zu
ｾ,se
ｾﾞ,ze
ｿ,so
ｿﾞ,zo
ﾀ,ta
ﾀﾞ,da
ﾁ,ti
ﾁｪ,tye
ﾁｬ,tya
ﾁｭ,tyu
ﾁｮ,tyo
ﾁｪ,tixe
ﾁｬ,tixya
ﾁｭ,tixyu
ﾁｮ,tixyo
ﾁ,chi
ﾁｪ,che
ﾁｬ,cha
ﾁｭ,chu
ﾁｮ,cho
ﾁｪ,chixe
ﾁｬ,chixya
ﾁｭ,chixyu
ﾁｮ,chixyo
ﾁﾞ,di
ﾁﾞｪ,dye
ﾁﾞｬ,dya
ﾁﾞｭ,dyu
ﾁﾞｮ,dyo
ﾁﾞｪ,dixe
ﾁﾞｬ,dixya
ﾁﾞｭ,dixyu
ﾁﾞｮ,dixyo
ﾁﾞ,dji
ﾁﾞｪ,dje
ﾁﾞｬ,dja
ﾁﾞｭ,dju
ﾁﾞｮ,djo
ﾁﾞｪ,djixe
ﾁﾞｬ,djixya
ﾁﾞｭ,djixyu
ﾁﾞｮ,djixyo
ﾂ,tu
ﾂｧ,tya
ﾂｨ,tyi
ﾂｪ,tye
ﾂｫ,tyo
ﾂｧ,tuxa
ﾂｨ,tuxi
ﾂｪ,tuxe
ﾂｫ,tuxo
ﾂ,tsu
ﾂｧ,tsa
ﾂｨ,tsi
ﾂｪ,tse
ﾂｫ,tso
ﾂｧ,tsuxa
ﾂｨ,tsuxi
ﾂｪ,tsuxe
ﾂｫ,tsuxo
ﾂﾞ,du
ﾂﾞ,dzu
ﾃ,te
ﾃｨ,ti
ﾃｨ,texi
ﾃﾞ,de
ﾃﾞｨ,dexi
ﾄ,to
ﾄｧ,ta
ﾄｩ,tu
ﾄｪ,te
ﾄｫ,to
ﾄｧ,toxa
ﾄｩ,toxu
ﾄｪ,toxe
ﾄｫ,toxo
ﾄﾞ,do
ﾄﾞｩ,du
ﾄﾞｩ,doxu
ﾅ,na
ﾇ,nu
ﾈ,ne
ﾉ,no
ﾆ,ni
ﾆｨ,nyi
ﾆｪ,nye
ﾆｬ,nya
ﾆｭ,nyu
ﾆｮ,nyo
ﾊ,ha
ﾊﾞ,ba
ﾊﾟ,pa
ﾋ,hi
ﾋｨ,hyi
ﾋｪ,hye
ﾋｬ,hya
ﾋｭ,hyu
ﾋｮ,hyo
ﾋｨ,hixi
ﾋｪ,hixe
ﾋｬ,hixya
ﾋｭ,hixyu
ﾋｮ,hixyo
ﾋﾞ,bi
ﾋﾞｨ,byi
ﾋﾞｪ,bye
ﾋﾞｬ,bya
ﾋﾞｭ,byu
ﾋﾞｮ,byo
ﾋﾞｨ,bixi
ﾋﾞｪ,bixe
ﾋﾞｬ,bixya
ﾋﾞｭ,bixyu
ﾋﾞｮ,bixyo
ﾋﾟ,pi
ﾋﾟｨ,pyi
ﾋﾟｪ,pye
ﾋﾟｬ,pya
ﾋﾟｭ,pyu
ﾋﾟｮ,pyo
ﾋﾟｨ,pixi
ﾋﾟｪ,pixe
ﾋﾟｬ,pixya
ﾋﾟｭ,pixyu
ﾋﾟｮ,pixyo
ﾌ,fu
ﾌｧ,fa
ﾌｨ,fi
ﾌｪ,fe
ﾌｫ,fo
ﾌｬ,fya
ﾌｭ,fyu
ﾌｮ,fyo
ﾌｧ,fuxa
ﾌｨ,fuxi
ﾌｪ,fuxe
ﾌｫ,fuxo
ﾌｬ,fuxya
ﾌｭ,fuxyu
ﾌｮ,fuxyo
ﾌ,hu
ﾌｧ,huxa
ﾌｨ,huxi
ﾌｪ,huxe
ﾌｫ,huxo
ﾌｬ,huxya
ﾌｭ,huxyu
ﾌｮ,huxyo
ﾌﾞ,bu
ﾌﾟ,pu
ﾍ,he
ﾍﾞ,be
ﾍﾟ,pe
ﾎ,ho
ﾎﾞ,bo
ﾎﾟ,po
ﾏ,ma
ﾑ,mu
ﾒ,me
